year-month, CONF_IDX
2022-01,101.4
2022-02,101.0
2022-03,94.6
2022-04,95.3
2022-05,90.3
2022-06,85.0
2022-07,82.8
2022-08,83.6
2022-09,85.7
2022-10,84.2
2022-11,80.2
2022-12,82.8
2023-01, 86.9
2023-02, 80.5
2023-03, 77.5
2023-04, 78.5
2023-05, 76.8
2023-06, 73.9
2023-07, 73.8
2023-08, 76.8
2023-09, 78.5
2023-10, 77.9
2023-11, 75.5
2023-12, 79.0
2024-01, 84.0
2024-02, 83.1
2024-03, 82.0
2024-04, 81.9
2024-05, 80.7
2024-06, 79.5
2024-07, 80.8
2024-08, 82.8
2024-09, 83.0
2024-10, 84.3
2024-11, 86.6
2024-12, 85.9
2025-01, 86.6
2025-02, 87.5
2025-03, 85.7
2025-04, 83.4
2025-05, 87.9
2025-06, 86.3
2025-07, 87.1
2025-08, 89.0
2025-09, 87.3
2025-10, 84.6
2025-11, 84.5
2025-12, 84.4
2026-01, 82.6
2026-02, 78.7
2026-03, 70.5
2026-04, 63.4